Date,Open,High,Low,Close,Volume,Adj Close
2007-03-28,105.61,105.91,104.79,105.35,76200,32.42
2007-03-27,104.55,105.45,104.55,105.45,160800,32.45
2007-03-26,105.32,105.65,104.11,105.39,106800,32.43
2007-03-23,104.60,105.16,104.43,104.98,162000,32.31
2007-03-22,103.91,104.90,103.80,104.41,169200,32.13
2007-03-21,101.75,103.46,101.75,103.20,104700,31.76
2007-03-20,100.95,101.62,100.57,101.46,85500,31.22
2007-03-19,99.90,100.98,99.80,100.98,78000,31.08
2007-03-16,99.75,100.40,98.74,99.03,631800,30.48
2007-03-15,99.57,100.36,99.45,99.87,55500,30.74
2007-03-14,99.01,99.74,97.79,99.61,181200,30.66
2007-03-13,100.10,101.18,98.65,98.80,255900,30.41
2007-03-12,99.74,100.65,99.72,100.48,174000,30.92
2007-03-09,100.88,101.24,100.14,100.70,90000,30.99
2007-03-08,100.47,101.00,100.10,100.60,343800,30.96
2007-03-07,98.80,101.15,98.71,100.05,521700,30.79
2007-03-06,97.90,98.89,97.73,98.89,254100,30.43
2007-03-05,96.39,98.01,96.39,96.82,392700,29.80
2007-03-02,99.48,99.65,97.85,98.18,268200,30.22
2007-03-01,98.30,100.81,98.22,100.10,224700,30.81
2007-02-28,100.01,100.94,99.64,100.24,174000,30.85
2007-02-27,101.90,103.03,99.21,100.00,174600,30.78
2007-02-26,103.45,104.52,103.45,103.99,212700,32.00
2007-02-23,103.29,103.74,102.87,103.22,177900,31.77
2007-02-22,102.00,102.98,101.46,102.98,414900,31.69
2007-02-21,100.92,102.00,100.22,101.99,173400,31.39
2007-02-20,100.65,100.93,100.29,100.91,263700,31.06
2007-02-16,101.75,101.98,101.43,101.83,109200,31.34
2007-02-15,102.09,102.09,101.08,101.74,247200,31.31
2007-02-14,102.42,103.00,101.71,102.34,162600,31.50
2007-02-13,101.16,102.23,101.15,102.20,121500,31.45
2007-02-12,100.60,100.99,99.82,100.45,138600,30.91
2007-02-09,102.02,102.22,101.11,101.56,86400,31.26
2007-02-08,100.75,101.96,100.24,101.96,180000,31.38
2007-02-07,101.73,102.08,100.35,101.00,169800,31.08
2007-02-06,101.87,101.96,100.99,101.65,113400,31.28
2007-02-05,102.15,102.27,101.45,101.62,306600,31.27
2007-02-02,101.31,101.99,100.62,101.80,119700,31.33
2007-02-01,101.25,101.99,100.67,101.89,285300,31.36
2007-01-31,100.06,101.25,99.76,101.00,170700,31.08
2007-01-30,98.82,100.55,98.82,100.55,173700,30.94
2007-01-29,99.05,99.61,98.14,98.55,120600,30.33
2007-01-26,99.03,99.43,98.51,99.10,198000,30.50
2007-01-25,99.98,100.07,98.19,98.70,174900,30.38
2007-01-24,99.69,100.50,98.50,100.50,244200,30.93
2007-01-23,98.26,100.11,98.26,99.90,223800,30.74
2007-01-22,97.85,98.35,96.68,97.40,364500,29.98
2007-01-19,96.00,97.80,96.00,97.80,597600,30.10
2007-01-18,97.03,97.24,95.15,95.67,1138800,29.44
2007-01-17,95.59,96.65,95.39,96.50,248400,29.70
2007-01-16,96.50,96.76,95.13,95.67,515100,29.44
2007-01-12,94.67,96.70,94.67,96.65,538800,29.74
2007-01-11,94.60,96.28,93.77,93.85,157200,28.88
2007-01-10,94.74,95.06,93.80,94.55,335700,29.10
2007-01-09,95.00,95.97,94.29,95.60,290400,29.42
2007-01-08,97.34,97.35,95.66,96.66,233100,29.75
2007-01-05,95.85,96.40,95.07,96.38,193800,29.66
2007-01-04,96.30,97.14,93.99,95.70,354300,29.45
2007-01-03,99.96,99.96,97.10,97.90,2105400,30.13
2006-12-29,101.84,101.84,101.24,101.60,114600,31.27
2006-12-28,102.15,102.34,101.78,102.24,100200,31.46
2006-12-27,101.25,102.19,100.80,101.90,73800,31.36
2006-12-26,101.00,101.72,100.26,100.78,114600,31.02
2006-12-22,101.79,101.79,100.76,100.76,193500,31.01
2006-12-21,102.53,102.58,100.83,101.54,183000,31.25
2006-12-20,103.28,104.15,102.57,102.61,282000,31.48
2006-12-19,101.84,104.14,101.81,103.95,197700,31.89
2006-12-18,104.78,104.78,102.35,102.44,128400,31.43
2006-12-15,106.32,106.32,104.99,105.35,187200,32.32
2006-12-14,105.20,106.72,105.20,106.45,184200,32.66
2006-12-13,104.20,105.17,104.05,104.96,107400,32.20
2006-12-12,104.30,104.82,103.58,104.13,120000,31.95
2006-12-11,103.90,105.00,103.65,104.50,183000,32.06
2006-12-08,105.12,105.55,104.31,104.58,289200,32.08
2006-12-07,104.73,105.22,103.96,104.70,81000,32.12
2006-12-06,104.57,106.00,104.57,104.97,286800,32.20
2006-12-05,105.80,105.80,104.16,105.30,180000,32.31
2006-12-04,104.55,104.88,103.80,104.88,178800,32.18
2006-12-01,104.29,104.95,103.12,104.95,1974600,32.20
2006-11-30,103.97,104.92,103.38,104.54,252600,32.07
2006-11-29,101.60,103.98,101.40,103.73,206400,31.82
2006-11-28,99.85,101.32,99.85,101.13,166200,31.03
2006-11-27,100.70,100.97,99.43,99.70,186000,30.59
2006-11-24,100.89,100.89,100.21,100.45,92400,30.82
2006-11-22,100.17,100.77,99.08,100.30,136800,30.77
2006-11-21,98.64,100.48,98.64,100.25,208500,30.76
2006-11-20,98.22,99.29,97.94,98.70,229800,30.28
2006-11-17,97.07,98.50,96.41,98.47,212400,30.21
2006-11-16,100.60,100.71,97.58,97.70,169800,29.97
2006-11-15,98.99,100.65,98.91,100.35,250200,30.79
2006-11-14,99.33,99.48,98.60,99.24,151800,30.45
2006-11-13,98.40,99.50,98.39,99.08,140400,30.40
2006-11-10,100.30,100.30,98.69,99.30,166800,30.46
2006-11-09,99.85,101.47,99.68,100.70,130800,30.89
2006-11-08,97.95,99.62,97.66,99.60,204600,30.56
2006-11-07,99.01,99.10,97.71,98.14,163800,30.11
2006-11-06,97.87,99.10,97.74,98.95,156600,30.36
2006-11-03,96.88,98.19,96.88,97.95,240000,30.05
2006-11-02,95.55,96.82,95.14,96.20,327600,29.51
2006-11-01,96.95,97.25,95.25,95.91,223200,29.42
2006-10-31,95.85,97.16,95.11,96.84,291000,29.71
2006-10-30,97.00,97.09,95.85,95.90,115500,29.42
2006-10-27,98.00,98.81,97.25,97.25,315000,29.84
2006-10-26,98.95,99.42,97.60,98.29,180600,30.15
2006-10-25,96.80,98.92,96.17,98.50,335100,30.22
2006-10-24,95.43,96.95,94.90,96.85,153000,29.71
2006-10-23,94.20,95.54,94.20,95.43,102000,29.28
2006-10-20,96.29,96.42,94.97,95.41,140100,29.27
2006-10-19,94.90,96.35,94.60,96.29,130800,29.54
2006-10-18,94.92,95.42,93.70,94.04,248700,28.85
2006-10-17,95.18,95.30,94.11,94.91,312900,29.12
2006-10-16,94.00,95.72,93.77,95.70,175200,29.36
2006-10-13,92.24,94.08,92.24,93.65,270000,28.73
2006-10-12,90.45,92.05,90.45,92.05,145200,28.24
2006-10-11,90.80,91.43,90.00,90.45,142200,27.75
2006-10-10,90.25,91.68,90.25,91.66,198600,28.12
2006-10-09,91.64,92.09,90.07,90.54,121200,27.78
2006-10-06,90.30,91.22,89.75,91.15,283500,27.96
2006-10-05,90.80,91.17,90.01,91.13,324600,27.96
2006-10-04,88.50,89.53,86.81,89.39,623700,27.42
2006-10-03,90.06,90.06,88.23,88.63,318600,27.19
2006-10-02,92.80,93.32,91.69,92.03,264000,28.23
2006-09-29,92.75,93.32,91.84,93.05,114600,28.55
2006-09-28,93.20,93.77,92.51,92.67,261900,28.43
2006-09-27,92.08,92.89,91.12,92.83,252600,28.48
2006-09-26,89.67,91.55,89.60,91.53,223200,28.00
2006-09-25,88.70,90.08,87.64,89.74,604800,27.45
2006-09-22,88.00,90.93,88.00,89.92,319800,27.51
2006-09-21,89.36,91.04,89.36,90.62,690000,27.72
2006-09-20,91.05,91.40,89.06,89.14,382200,27.27
2006-09-19,92.81,92.81,90.45,91.20,200400,27.90
2006-09-18,91.15,93.12,91.15,92.79,417600,28.39
2006-09-15,90.21,91.13,90.13,90.70,350100,27.75
2006-09-14,92.95,93.13,90.45,90.88,289200,27.80
2006-09-13,91.85,93.21,91.76,92.90,407400,28.42
2006-09-12,91.50,92.30,90.34,90.83,466200,27.79
2006-09-11,92.82,92.82,91.31,91.31,714300,27.93
2006-09-08,96.60,96.85,94.69,94.82,358200,29.01
2006-09-07,96.40,97.29,96.06,96.71,283500,29.59
2006-09-06,98.85,99.26,97.25,97.55,243600,29.84
2006-09-05,98.62,100.30,98.60,99.98,2608500,30.59
2006-09-01,98.60,99.20,98.33,99.13,123300,30.33
2006-08-31,97.99,98.74,97.69,97.92,144000,29.96
2006-08-30,99.40,99.40,97.25,98.07,536400,30.00
2006-08-29,99.15,99.27,98.21,99.27,837600,30.37
2006-08-28,99.87,100.46,99.53,99.74,103200,30.51
